0.0,0.726,0.35574
0.0,0.57,0.2793
0.0,0.596,0.29204
0.0,0.567,0.27783
0.0,0.581,0.28469
0.0,0.539,0.26411
0.016,0.533,0.26933
0.016,0.466,0.2365
0.016,0.521,0.26345
0.032,0.421,0.22261
0.048,0.451,0.24547
0.016,0.511,0.25855
0.016,0.513,0.25953
0.016,0.453,0.23013
0.0,0.412,0.20188
0.032,0.451,0.23731
0.016,0.459,0.23307
0.0,0.489,0.23961
0.032,0.428,0.22604
0.111,0.442,0.27319
0.016,0.505,0.25561
0.016,0.505,0.25561
0.0,0.457,0.22393
0.095,0.399,0.24396
0.032,0.476,0.24956
0.032,0.48,0.25152
0.111,0.396,0.25065
0.111,0.396,0.25065
0.111,0.396,0.25065
0.111,0.396,0.25065
0.111,0.396,0.25065
0.111,0.396,0.25065
0.0,0.486,0.23814
0.0,0.486,0.23814
0.095,0.4,0.24445
0.111,0.408,0.25653
0.095,0.447,0.26748
0.095,0.447,0.26748
0.095,0.447,0.26748
0.095,0.447,0.26748
0.095,0.447,0.26748
0.0,0.439,0.21511
0.0,0.454,0.22246
0.0,0.406,0.19894
0.079,0.443,0.25736
0.079,0.443,0.25736
0.079,0.409,0.2407
0.079,0.38,0.22649
0.079,0.434,0.25295
0.079,0.434,0.25295
0.127,0.439,0.27988
0.127,0.35,0.23627
0.127,0.423,0.27204
0.127,0.423,0.27204
0.0,0.365,0.17885
0.127,0.361,0.24166
0.127,0.34,0.23137
0.127,0.379,0.25048
0.127,0.363,0.24264
0.127,0.363,0.24264
0.254,0.323,0.28781
0.254,0.323,0.28781
0.254,0.323,0.28781
0.254,0.323,0.28781
0.254,0.323,0.28781
0.254,0.323,0.28781
0.254,0.323,0.28781
0.254,0.414,0.3324
0.254,0.414,0.3324
0.254,0.414,0.3324
0.254,0.414,0.3324
0.254,0.414,0.3324
0.254,0.363,0.30741
0.254,0.305,0.27899
0.254,0.268,0.26086
0.254,0.325,0.28879
0.254,0.288,0.27066
