0.0,0.583,0.28567
0.127,0.373,0.24754
0.0,0.573,0.28077
0.095,0.45,0.26895
0.095,0.45,0.26895
0.0,0.434,0.21266
0.0,0.5,0.245
0.079,0.399,0.2358
0.063,0.389,0.22274
0.0,0.474,0.23226
0.095,0.409,0.24886
0.095,0.409,0.24886
0.095,0.409,0.24886
0.016,0.412,0.21004
0.0,0.412,0.20188
0.0,0.467,0.22883
0.0,0.474,0.23226
0.0,0.481,0.23569
0.0,0.401,0.19649
0.016,0.463,0.23503
0.0,0.474,0.23226
0.0,0.496,0.24304
0.0,0.46,0.2254
0.0,0.488,0.23912
0.0,0.508,0.24892
0.095,0.447,0.26748
0.063,0.396,0.22617
0.0,0.429,0.21021
0.095,0.409,0.24886
0.0,0.453,0.22197
0.079,0.368,0.22061
0.127,0.333,0.22794
0.127,0.341,0.23186
0.127,0.341,0.23186
0.111,0.335,0.22076
0.0,0.356,0.17444
0.127,0.337,0.2299
0.111,0.323,0.21488
0.127,0.306,0.21471
0.032,0.356,0.19076
0.032,0.356,0.19076
0.111,0.323,0.21488
0.111,0.323,0.21488
0.016,0.375,0.19191
0.0,0.366,0.17934
0.0,0.326,0.15974
0.032,0.297,0.16185
0.111,0.297,0.20214
0.0,0.297,0.14553
0.079,0.432,0.25197
0.079,0.339,0.2064
0.079,0.362,0.21767
0.079,0.333,0.20346
0.111,0.315,0.21096
0.063,0.315,0.18648
0.063,0.323,0.1904
0.063,0.249,0.15414
0.0,0.245,0.12005
0.016,0.315,0.16251
0.111,0.315,0.21096
0.127,0.315,0.21912
0.111,0.315,0.21096
0.127,0.307,0.2152
0.127,0.303,0.21324
